AVNTS Fleet Pricing for Turo & RideAlike,,,,,,,,,
SL No.,Vehicle,Year ,Plate Number,Type ,Daily ,Weekly ,Monthly,Cost(Monthly Payment),Cost(Depreciation)
1,MERCEDES CLA 45 AMG,2017,,LUX SDN,$100.00,$600.00,"$1,600.00",,
2,TOYOTA RAV 4 LE,2024,,SUV,$60.00,$380.00,"$1,350.00",,
3,TOYOTA CAMRY SE,2024,,SDN,$150.00,$950.00,"$3,500.00",,
4,NISSAN QASHQAI SV AWD,2023,,SUV,$120.00,$750.00,"$2,800.00",,
5,VOLKSWAGEN JETTA ,2021,,SDN,$65.00,$400.00,"$1,600.00",,
6,MERCEDES E-CLASS(E 43),2017,,LUX SDN,$140.00,$750.00,"$2,700.00",,
7,HYUNDAI PALISADE CALIGRAPHY,2024,,7STR,$85.00,$550.00,"$2,100.00",,
8,PORSCHE CAYENNE PLATINUM EDITION,2018,DFCT243,LUX SUV,$150.00,$900.00,"$3,200.00",,
9,TESLA MODEL Y,2024,,EV,$95.00,$600.00,"$1,900.00",,
10,TESLA MODEL 3 PERFORMANCE ,2022,,EV,$110.00,$700.00,"$2,300.00",,
,TESLA MODEL 3 SR+,2020,,EV,$60.00,$500.00,"$1,800.00",,
,MINI COOPER CONVERTIBLE ,2024,,,$75.00,$475.00,"$1,700.00",,
,HYUNDAI SONATA GL,2017,,SDN,$50.00,$350.00,"$1,050.00",,
,RANGE ROVER EVOQUE SE,2020,,LUX SUV,$100.00,$600.00,"$2,000.00",,
,HYUNDAI PALISADE CALIGRAPHY,2025,,7STR,$95.00,$600.00,"$2,200.00",,
,MERCEDES GLC 400,2022,,LUX SUV,$120.00,$750.00,"$2,800.00",,
,HYUNDAI ELANTRA ,2019,,SDN,$55.00,$350.00,"$1,100.00",,
,,,,,,,,,
,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
